yourlist:M20201208E5A08BB0B2D1C45B0C7BC3B55FD2655607611FW	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
PP2BA_HUMAN	Q08209	PP2BA_HUMAN	reviewed	Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calmodulin-dependent calcineurin A subunit alpha isoform)	PPP3CA CALNA CNA	Homo sapiens (Human)	521
CANB2_HUMAN	Q96LZ3	CANB2_HUMAN	reviewed	Calcineurin subunit B type 2 (Calcineurin B-like protein) (CBLP) (Calcineurin BII) (CNBII) (PPP3R1-like) (Protein phosphatase 2B regulatory subunit 2) (Protein phosphatase 3 regulatory subunit B beta isoform)	PPP3R2 CBLP PPP3RL	Homo sapiens (Human)	170
TB10C_HUMAN	Q8IV04	TB10C_HUMAN	reviewed	Carabin (TBC1 domain family member 10C)	TBC1D10C	Homo sapiens (Human)	446
CAND1_HUMAN	Q86VP6	CAND1_HUMAN	reviewed	Cullin-associated NEDD8-dissociated protein 1 (Cullin-associated and neddylation-dissociated protein 1) (TBP-interacting protein of 120 kDa A) (TBP-interacting protein 120A) (p120 CAND1)	CAND1 KIAA0829 TIP120 TIP120A	Homo sapiens (Human)	1230
CUL1_HUMAN	Q13616	CUL1_HUMAN	reviewed	Cullin-1 (CUL-1)	CUL1	Homo sapiens (Human)	776
CUL2_HUMAN	Q13617	CUL2_HUMAN	reviewed	Cullin-2 (CUL-2)	CUL2	Homo sapiens (Human)	745
CUL3_HUMAN	Q13618	CUL3_HUMAN	reviewed	Cullin-3 (CUL-3)	CUL3 KIAA0617	Homo sapiens (Human)	768
CUL4A_HUMAN	Q13619	CUL4A_HUMAN	reviewed	Cullin-4A (CUL-4A)	CUL4A	Homo sapiens (Human)	759
CUL4B_HUMAN	Q13620	CUL4B_HUMAN	reviewed	Cullin-4B (CUL-4B)	CUL4B KIAA0695	Homo sapiens (Human)	913
RBX1_HUMAN	P62877	RBX1_HUMAN	reviewed	E3 ubiquitin-protein ligase RBX1 (EC 2.3.2.27) (EC 2.3.2.32) (E3 ubiquitin-protein transferase RBX1) (Protein ZYP) (RING finger protein 75) (RING-box protein 1) (Rbx1) (Regulator of cullins 1) (ROC1) [Cleaved into: E3 ubiquitin-protein ligase RBX1, N-terminally processed (E3 ubiquitin-protein transferase RBX1, N-terminally processed)]	RBX1 RNF75 ROC1	Homo sapiens (Human)	108
SPB8_HUMAN	P50452	SPB8_HUMAN	reviewed	Serpin B8 (Cytoplasmic antiproteinase 2) (CAP-2) (CAP2) (Peptidase inhibitor 8) (PI-8)	SERPINB8 PI8	Homo sapiens (Human)	374
TRAF3_HUMAN	Q13114	TRAF3_HUMAN	reviewed	TNF receptor-associated factor 3 (EC 2.3.2.27) (CAP-1) (CD40 receptor-associated factor 1) (CRAF1) (CD40-binding protein) (CD40BP) (LMP1-associated protein 1) (LAP1) (RING-type E3 ubiquitin transferase TRAF3)	TRAF3 CAP1 CRAF1	Homo sapiens (Human)	568
CAP7_HUMAN	P20160	CAP7_HUMAN	reviewed	Azurocidin (Cationic antimicrobial protein CAP37) (Heparin-binding protein) (HBP) (hHBP)	AZU1	Homo sapiens (Human)	251
TTK_HUMAN	P33981	TTK_HUMAN	reviewed	Dual specificity protein kinase TTK (EC 2.7.12.1) (Phosphotyrosine picked threonine-protein kinase) (PYT)	TTK MPS1 MPS1L1	Homo sapiens (Human)	857
CAPON_HUMAN	O75052	CAPON_HUMAN	reviewed	Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein (C-terminal PDZ ligand of neuronal nitric oxide synthase protein) (Nitric oxide synthase 1 adaptor protein)	NOS1AP CAPON KIAA0464	Homo sapiens (Human)	506
RASD1_HUMAN	Q9Y272	RASD1_HUMAN	reviewed	Dexamethasone-induced Ras-related protein 1 (Activator of G-protein signaling 1)	RASD1 AGS1 DEXRAS1	Homo sapiens (Human)	281
CAPR1_HUMAN	Q14444	CAPR1_HUMAN	reviewed	Caprin-1 (Cell cycle-associated protein 1) (Cytoplasmic activation- and proliferation-associated protein 1) (GPI-anchored membrane protein 1) (GPI-anchored protein p137) (GPI-p137) (p137GPI) (Membrane component chromosome 11 surface marker 1) (RNA granule protein 105)	CAPRIN1 GPIAP1 GPIP137 M11S1 RNG105	Homo sapiens (Human)	709
CAPS1_HUMAN	Q9ULU8	CAPS1_HUMAN	reviewed	Calcium-dependent secretion activator 1 (Calcium-dependent activator protein for secretion 1) (CAPS-1)	CADPS CAPS CAPS1 KIAA1121	Homo sapiens (Human)	1353
DRD2_HUMAN	P14416	DRD2_HUMAN	reviewed	D(2) dopamine receptor (Dopamine D2 receptor)	DRD2	Homo sapiens (Human)	443
Q6FII2_HUMAN	Q6FII2	Q6FII2_HUMAN	unreviewed	KIAA1549 protein	KIAA1549	Homo sapiens (Human)	110
CAPS2_HUMAN	Q86UW7	CAPS2_HUMAN	reviewed	Calcium-dependent secretion activator 2 (Calcium-dependent activator protein for secretion 2) (CAPS-2)	CADPS2 CAPS2 KIAA1591	Homo sapiens (Human)	1296
BDNF_HUMAN	P23560	BDNF_HUMAN	reviewed	Brain-derived neurotrophic factor (BDNF) (Abrineurin) [Cleaved into: BDNF precursor form (ProBDNF)]	BDNF	Homo sapiens (Human)	247
Q6PIA4_HUMAN,ZAP70_HUMAN	P43403	ZAP70_HUMAN	reviewed	Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)	ZAP70 SRK	Homo sapiens (Human)	619
CAR14_HUMAN	Q9BXL6	CAR14_HUMAN	reviewed	Caspase recruitment domain-containing protein 14 (CARD-containing MAGUK protein 2) (Carma 2)	CARD14 CARMA2	Homo sapiens (Human)	1004
CASP4_HUMAN	P49662	CASP4_HUMAN	reviewed	Caspase-4 (CASP-4) (EC 3.4.22.57) (ICE and Ced-3 homolog 2) (ICH-2) (ICE(rel)-II) (Mih1) (Protease TX) [Cleaved into: Caspase-4 subunit p10; Caspase-4 subunit p20]	CASP4 ICH2	Homo sapiens (Human)	377
CRADD_HUMAN	P78560	CRADD_HUMAN	reviewed	Death domain-containing protein CRADD (Caspase and RIP adapter with death domain) (RIP-associated protein with a death domain)	CRADD RAIDD	Homo sapiens (Human)	199
CARD8_HUMAN	Q9Y2G2	CARD8_HUMAN	reviewed	Caspase recruitment domain-containing protein 8 (Apoptotic protein NDPP1) (CARD-inhibitor of NF-kappa-B-activating ligand) (CARDINAL) (DACAR) (Tumor up-regulated CARD-containing antagonist of CASP9) (TUCAN)	CARD8 KIAA0955 NDPP1	Homo sapiens (Human)	431
ICBR_HUMAN	P57730	CAR18_HUMAN	reviewed	Caspase recruitment domain-containing protein 18 (Caspase-1 inhibitor Iceberg)	CARD18 ICEBERG UNQ5804/PRO19611	Homo sapiens (Human)	90
Q96RJ9_HUMAN	Q5EG05	CAR16_HUMAN	reviewed	Caspase recruitment domain-containing protein 16 (Caspase recruitment domain-only protein 1) (CARD-only protein 1) (Caspase-1 inhibitor COP) (Pseudo interleukin-1 beta converting enzyme) (Pseudo-ICE) (Pseudo-IL1B-converting enzyme)	CARD16 COP COP1	Homo sapiens (Human)	197
CARM1_HUMAN	Q86X55	CARM1_HUMAN	reviewed	Histone-arginine methyltransferase CARM1 (EC 2.1.1.319) (Coactivator-associated arginine methyltransferase 1) (Protein arginine N-methyltransferase 4)	CARM1 PRMT4	Homo sapiens (Human)	608
ALX1_HUMAN,CART1_HUMAN	Q15699	ALX1_HUMAN	reviewed	ALX homeobox protein 1 (Cartilage homeoprotein 1) (CART-1)	ALX1 CART1	Homo sapiens (Human)	326
CAS1_HUMAN	P47710	CASA1_HUMAN	reviewed	Alpha-S1-casein [Cleaved into: Casoxin-D]	CSN1S1 CASA CSN1	Homo sapiens (Human)	185
CASC3_HUMAN	O15234	CASC3_HUMAN	reviewed	Protein CASC3 (Cancer susceptibility candidate gene 3 protein) (Metastatic lymph node gene 51 protein) (MLN 51) (Protein barentsz) (Btz)	CASC3 MLN51	Homo sapiens (Human)	703
DDX48_HUMAN,IF4A3_HUMAN	P38919	IF4A3_HUMAN	reviewed	Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic initiation factor 4A-like NUK-34) (Eukaryotic translation initiation factor 4A isoform 3) (Nuclear matrix protein 265) (NMP 265) (hNMP 265) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]	EIF4A3 DDX48 KIAA0111	Homo sapiens (Human)	411
MGN_HUMAN	P61326	MGN_HUMAN	reviewed	Protein mago nashi homolog	MAGOH MAGOHA	Homo sapiens (Human)	146
RBM8A_HUMAN	Q9Y5S9	RBM8A_HUMAN	reviewed	RNA-binding protein 8A (Binder of OVCA1-1) (BOV-1) (RNA-binding motif protein 8A) (RNA-binding protein Y14) (Ribonucleoprotein RBM8A)	RBM8A RBM8 HSPC114 MDS014	Homo sapiens (Human)	174
STAU1_HUMAN	O95793	STAU1_HUMAN	reviewed	Double-stranded RNA-binding protein Staufen homolog 1	STAU1 STAU	Homo sapiens (Human)	577
CASC5_HUMAN	Q8NG31	KNL1_HUMAN	reviewed	Kinetochore scaffold 1 (ALL1-fused gene from chromosome 15q14 protein) (AF15q14) (Bub-linking kinetochore protein) (Blinkin) (Cancer susceptibility candidate gene 5 protein) (Cancer/testis antigen 29) (CT29) (Kinetochore-null protein 1) (Protein CASC5) (Protein D40/AF15q14)	KNL1 CASC5 KIAA1570	Homo sapiens (Human)	2342
ESPB1_HUMAN	Q96BH3	ESPB1_HUMAN	reviewed	Epididymal sperm-binding protein 1 (Epididymal secretory protein 12) (hE12)	ELSPBP1 E12	Homo sapiens (Human)	223
ID2_HUMAN	Q02363	ID2_HUMAN	reviewed	DNA-binding protein inhibitor ID-2 (Class B basic helix-loop-helix protein 26) (bHLHb26) (Inhibitor of DNA binding 2) (Inhibitor of differentiation 2)	ID2 BHLHB26	Homo sapiens (Human)	134
SMAD1_HUMAN	Q15797	SMAD1_HUMAN	reviewed	Mothers against decapentaplegic homolog 1 (MAD homolog 1) (Mothers against DPP homolog 1) (JV4-1) (Mad-related protein 1) (SMAD family member 1) (SMAD 1) (Smad1) (hSMAD1) (Transforming growth factor-beta-signaling protein 1) (BSP-1)	SMAD1 BSP1 MADH1 MADR1	Homo sapiens (Human)	465
IL18_HUMAN	Q14116	IL18_HUMAN	reviewed	Interleukin-18 (IL-18) (Iboctadekin) (Interferon gamma-inducing factor) (IFN-gamma-inducing factor) (Interleukin-1 gamma) (IL-1 gamma)	IL18 IGIF IL1F4	Homo sapiens (Human)	193
CASP1_HUMAN,Q6PI75_HUMAN	P29466	CASP1_HUMAN	reviewed	Caspase-1 (CASP-1) (EC 3.4.22.36) (Interleukin-1 beta convertase) (IL-1BC) (Interleukin-1 beta-converting enzyme) (ICE) (IL-1 beta-converting enzyme) (p45) [Cleaved into: Caspase-1 subunit p20; Caspase-1 subunit p10]	CASP1 IL1BC IL1BCE	Homo sapiens (Human)	404
CASP2_HUMAN	P42575	CASP2_HUMAN	reviewed	Caspase-2 (CASP-2) (EC 3.4.22.55) (Neural precursor cell expressed developmentally down-regulated protein 2) (NEDD-2) (Protease ICH-1) [Cleaved into: Caspase-2 subunit p18; Caspase-2 subunit p13; Caspase-2 subunit p12]	CASP2 ICH1 NEDD2	Homo sapiens (Human)	452
PIDD_HUMAN	Q9HB75	PIDD1_HUMAN	reviewed	p53-induced death domain-containing protein 1 (EC 3.4.21.-) (Leucine-rich repeat and death domain-containing protein) [Cleaved into: PIDD-N; PIDD-C; PIDD-CC]	PIDD1 LRDD PIDD	Homo sapiens (Human)	910
MET_HUMAN	P08581	MET_HUMAN	reviewed	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Homo sapiens (Human)	1390
STK4_HUMAN	Q13043	STK4_HUMAN	reviewed	Serine/threonine-protein kinase 4 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 1) (MST-1) (STE20-like kinase MST1) (Serine/threonine-protein kinase Krs-2) [Cleaved into: Serine/threonine-protein kinase 4 37kDa subunit (MST1/N); Serine/threonine-protein kinase 4 18kDa subunit (MST1/C)]	STK4 KRS2 MST1	Homo sapiens (Human)	487
LMNB1_HUMAN	P20700	LMNB1_HUMAN	reviewed	Lamin-B1	LMNB1 LMN2 LMNB	Homo sapiens (Human)	586
GMEB1_HUMAN	Q9Y692	GMEB1_HUMAN	reviewed	Glucocorticoid modulatory element-binding protein 1 (GMEB-1) (DNA-binding protein p96PIF) (Parvovirus initiation factor p96) (PIF p96)	GMEB1	Homo sapiens (Human)	573
Q6NVI2_HUMAN	Q6NVI2	Q6NVI2_HUMAN	unreviewed	CASP8 protein	CASP8	Homo sapiens (Human)	278
RIPK1_HUMAN	Q13546	RIPK1_HUMAN	reviewed	Receptor-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (Cell death protein RIP) (Receptor-interacting protein 1) (RIP-1)	RIPK1 RIP RIP1	Homo sapiens (Human)	671
TNF10_HUMAN	P50591	TNF10_HUMAN	reviewed	Tumor necrosis factor ligand superfamily member 10 (Apo-2 ligand) (Apo-2L) (TNF-related apoptosis-inducing ligand) (Protein TRAIL) (CD antigen CD253)	TNFSF10 APO2L TRAIL	Homo sapiens (Human)	281
TRAF1_HUMAN	Q13077	TRAF1_HUMAN	reviewed	TNF receptor-associated factor 1 (Epstein-Barr virus-induced protein 6)	TRAF1 EBI6	Homo sapiens (Human)	416
Q96RL5_HUMAN,Q8WU39_HUMAN	Q8WU39	MZB1_HUMAN	reviewed	Marginal zone B- and B1-cell-specific protein (Mesenteric estrogen-dependent adipose 7) (MEDA-7) (Plasma cell-induced resident endoplasmic reticulum protein) (Plasma cell-induced resident ER protein) (pERp1) (Proapoptotic caspase adapter protein)	MZB1 MEDA7 PACAP HSPC190	Homo sapiens (Human)	189
CASPE_HUMAN	P31944	CASPE_HUMAN	reviewed	Caspase-14 (CASP-14) (EC 3.4.22.-) [Cleaved into: Caspase-14 subunit p17, mature form; Caspase-14 subunit p10, mature form; Caspase-14 subunit p20, intermediate form; Caspase-14 subunit p8, intermediate form]	CASP14	Homo sapiens (Human)	242
CASQ2_HUMAN	O14958	CASQ2_HUMAN	reviewed	Calsequestrin-2 (Calsequestrin, cardiac muscle isoform)	CASQ2	Homo sapiens (Human)	399
CASR_HUMAN	P41180	CASR_HUMAN	reviewed	Extracellular calcium-sensing receptor (CaR) (CaSR) (hCasR) (Parathyroid cell calcium-sensing receptor 1) (PCaR1)	CASR GPRC2A PCAR1	Homo sapiens (Human)	1078
CATB_HUMAN	P07858	CATB_HUMAN	reviewed	Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]	CTSB CPSB	Homo sapiens (Human)	339
AMBP_HUMAN	P02760	AMBP_HUMAN	reviewed	Protein AMBP [Cleaved into: Alpha-1-microglobulin (Protein HC) (Alpha-1 microglycoprotein) (Complex-forming glycoprotein heterogeneous in charge); Inter-alpha-trypsin inhibitor light chain (ITI-LC) (Bikunin) (EDC1) (HI-30) (Uronic-acid-rich protein); Trypstatin]	AMBP HCP ITIL	Homo sapiens (Human)	352
UROK_HUMAN	P00749	UROK_HUMAN	reviewed	Urokinase-type plasminogen activator (U-plasminogen activator) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B]	PLAU	Homo sapiens (Human)	431
CATD_HUMAN	P07339	CATD_HUMAN	reviewed	Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain]	CTSD CPSD	Homo sapiens (Human)	412
SHBG_HUMAN	P04278	SHBG_HUMAN	reviewed	Sex hormone-binding globulin (SHBG) (Sex steroid-binding protein) (SBP) (Testis-specific androgen-binding protein) (ABP) (Testosterone-estradiol-binding globulin) (TeBG) (Testosterone-estrogen-binding globulin)	SHBG	Homo sapiens (Human)	402
CATE_HUMAN	P14091	CATE_HUMAN	reviewed	Cathepsin E (EC 3.4.23.34) [Cleaved into: Cathepsin E form I; Cathepsin E form II]	CTSE	Homo sapiens (Human)	396
CATG_HUMAN	P08311	CATG_HUMAN	reviewed	Cathepsin G (CG) (EC 3.4.21.20)	CTSG	Homo sapiens (Human)	255
CATL1_HUMAN	P07711	CATL1_HUMAN	reviewed	Procathepsin L (EC 3.4.22.15) (Cathepsin L1) (Major excreted protein) (MEP) [Cleaved into: Cathepsin L; Cathepsin L heavy chain; Cathepsin L light chain]	CTSL CTSL1	Homo sapiens (Human)	333
CD7_HUMAN	P09564	CD7_HUMAN	reviewed	T-cell antigen CD7 (GP40) (T-cell leukemia antigen) (T-cell surface antigen Leu-9) (TP41) (CD antigen CD7)	CD7	Homo sapiens (Human)	240
CAV2_HUMAN	P51636	CAV2_HUMAN	reviewed	Caveolin-2	CAV2	Homo sapiens (Human)	162
MALL_HUMAN	Q13021	MALL_HUMAN	reviewed	MAL-like protein (Protein BENE)	MALL BENE	Homo sapiens (Human)	153
NLTP_HUMAN	P22307	NLTP_HUMAN	reviewed	Non-specific lipid-transfer protein (NSL-TP) (EC 2.3.1.176) (Propanoyl-CoA C-acyltransferase) (SCP-chi) (SCPX) (Sterol carrier protein 2) (SCP-2) (Sterol carrier protein X) (SCP-X)	SCP2	Homo sapiens (Human)	547
PGH2_HUMAN	P35354	PGH2_HUMAN	reviewed	Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2)	PTGS2 COX2	Homo sapiens (Human)	604
STRN4_HUMAN	Q9NRL3	STRN4_HUMAN	reviewed	Striatin-4 (Zinedin)	STRN4 ZIN	Homo sapiens (Human)	753
STRN_HUMAN	O43815	STRN_HUMAN	reviewed	Striatin	STRN	Homo sapiens (Human)	780
TNR5_HUMAN	P25942	TNR5_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 5 (B-cell surface antigen CD40) (Bp50) (CD40L receptor) (CDw40) (CD antigen CD40)	CD40 TNFRSF5	Homo sapiens (Human)	277
TRPC1_HUMAN	P48995	TRPC1_HUMAN	reviewed	Short transient receptor potential channel 1 (TrpC1) (Transient receptor protein 1) (TRP-1)	TRPC1 TRP1	Homo sapiens (Human)	793
NUA4L_HUMAN	Q9NRX3	NUA4L_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2 (NADH-ubiquinone oxidoreductase MLRQ subunit homolog) (NUOMS)	NDUFA4L2	Homo sapiens (Human)	87
CB032_HUMAN	Q96F85	CNRP1_HUMAN	reviewed	CB1 cannabinoid receptor-interacting protein 1 (CRIP-1)	CNRIP1 C2orf32	Homo sapiens (Human)	164
CB044_HUMAN	Q9H6R7	WDCP_HUMAN	reviewed	WD repeat and coiled-coil-containing protein	WDCP C2orf44 PP384	Homo sapiens (Human)	721
RAB35_HUMAN	Q15286	RAB35_HUMAN	reviewed	Ras-related protein Rab-35 (GTP-binding protein RAY) (Ras-related protein Rab-1C)	RAB35 RAB1C RAY	Homo sapiens (Human)	201
NEDD4_HUMAN	P46934	NEDD4_HUMAN	reviewed	E3 ubiquitin-protein ligase NEDD4 (EC 2.3.2.26) (Cell proliferation-inducing gene 53 protein) (HECT-type E3 ubiquitin transferase NEDD4) (Neural precursor cell expressed developmentally down-regulated protein 4) (NEDD-4)	NEDD4 KIAA0093 NEDD4-1 PIG53	Homo sapiens (Human)	1319
CRY1_HUMAN,Q16526_HUMAN	Q16526	CRY1_HUMAN	reviewed	Cryptochrome-1	CRY1 PHLL1	Homo sapiens (Human)	586
GORS2_HUMAN,Q53TE3_HUMAN	Q9H8Y8	GORS2_HUMAN	reviewed	Golgi reassembly-stacking protein 2 (GRS2) (Golgi phosphoprotein 6) (GOLPH6) (Golgi reassembly-stacking protein of 55 kDa) (GRASP55) (p59)	GORASP2 GOLPH6	Homo sapiens (Human)	452
VINEX_HUMAN,Q96FY4_HUMAN	O60504	VINEX_HUMAN	reviewed	Vinexin (SH3-containing adapter molecule 1) (SCAM-1) (Sorbin and SH3 domain-containing protein 3)	SORBS3 SCAM1	Homo sapiens (Human)	671
TNR11_HUMAN	Q9Y6Q6	TNR11_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 11A (Osteoclast differentiation factor receptor) (ODFR) (Receptor activator of NF-KB) (CD antigen CD265)	TNFRSF11A RANK	Homo sapiens (Human)	616
CBLC_HUMAN	Q9ULV8	CBLC_HUMAN	reviewed	E3 ubiquitin-protein ligase CBL-C (EC 2.3.2.27) (RING finger protein 57) (RING-type E3 ubiquitin transferase CBL-C) (SH3-binding protein CBL-3) (SH3-binding protein CBL-C) (Signal transduction protein CBL-C)	CBLC CBL3 RNF57	Homo sapiens (Human)	474
CD19_HUMAN	P15391	CD19_HUMAN	reviewed	B-lymphocyte antigen CD19 (B-lymphocyte surface antigen B4) (Differentiation antigen CD19) (T-cell surface antigen Leu-12) (CD antigen CD19)	CD19	Homo sapiens (Human)	556
CD2AP_HUMAN	Q9Y5K6	CD2AP_HUMAN	reviewed	CD2-associated protein (Adapter protein CMS) (Cas ligand with multiple SH3 domains)	CD2AP	Homo sapiens (Human)	639
CDKL2_HUMAN	Q92772	CDKL2_HUMAN	reviewed	Cyclin-dependent kinase-like 2 (EC 2.7.11.22) (Protein kinase p56 KKIAMRE) (Serine/threonine-protein kinase KKIAMRE)	CDKL2	Homo sapiens (Human)	493
CSF1R_HUMAN	P07333	CSF1R_HUMAN	reviewed	Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115)	CSF1R FMS	Homo sapiens (Human)	972
EPHA3_HUMAN	P29320	EPHA3_HUMAN	reviewed	Ephrin type-A receptor 3 (EC 2.7.10.1) (EPH-like kinase 4) (EK4) (hEK4) (HEK) (Human embryo kinase) (Tyrosine-protein kinase TYRO4) (Tyrosine-protein kinase receptor ETK1) (Eph-like tyrosine kinase 1)	EPHA3 ETK ETK1 HEK TYRO4	Homo sapiens (Human)	983
EPHB4_HUMAN	P54760	EPHB4_HUMAN	reviewed	Ephrin type-B receptor 4 (EC 2.7.10.1) (Hepatoma transmembrane kinase) (Tyrosine-protein kinase TYRO11)	EPHB4 HTK MYK1 TYRO11	Homo sapiens (Human)	987
EPHB6_HUMAN	O15197	EPHB6_HUMAN	reviewed	Ephrin type-B receptor 6 (HEP) (Tyrosine-protein kinase-defective receptor EPH-6)	EPHB6	Homo sapiens (Human)	1021
EPOR_HUMAN	P19235	EPOR_HUMAN	reviewed	Erythropoietin receptor (EPO-R)	EPOR	Homo sapiens (Human)	508
FAK2_HUMAN	Q14289	FAK2_HUMAN	reviewed	Protein-tyrosine kinase 2-beta (EC 2.7.10.2) (Calcium-dependent tyrosine kinase) (CADTK) (Calcium-regulated non-receptor proline-rich tyrosine kinase) (Cell adhesion kinase beta) (CAK-beta) (CAKB) (Focal adhesion kinase 2) (FADK 2) (Proline-rich tyrosine kinase 2) (Related adhesion focal tyrosine kinase) (RAFTK)	PTK2B FAK2 PYK2 RAFTK	Homo sapiens (Human)	1009
FGR_HUMAN	P09769	FGR_HUMAN	reviewed	Tyrosine-protein kinase Fgr (EC 2.7.10.2) (Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog) (Proto-oncogene c-Fgr) (p55-Fgr) (p58-Fgr) (p58c-Fgr)	FGR SRC2	Homo sapiens (Human)	529
FLT3_HUMAN	P36888	FLT3_HUMAN	reviewed	Receptor-type tyrosine-protein kinase FLT3 (EC 2.7.10.1) (FL cytokine receptor) (Fetal liver kinase-2) (FLK-2) (Fms-like tyrosine kinase 3) (FLT-3) (Stem cell tyrosine kinase 1) (STK-1) (CD antigen CD135)	FLT3 CD135 FLK2 STK1	Homo sapiens (Human)	993
IF2P_HUMAN	O60841	IF2P_HUMAN	reviewed	Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2)	EIF5B IF2 KIAA0741	Homo sapiens (Human)	1220
IRS2_HUMAN	Q9Y4H2	IRS2_HUMAN	reviewed	Insulin receptor substrate 2 (IRS-2)	IRS2	Homo sapiens (Human)	1338
K1C18_HUMAN	P05783	K1C18_HUMAN	reviewed	Keratin, type I cytoskeletal 18 (Cell proliferation-inducing gene 46 protein) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)	KRT18 CYK18 PIG46	Homo sapiens (Human)	430
KLK3_HUMAN	P07288	KLK3_HUMAN	reviewed	Prostate-specific antigen (PSA) (EC 3.4.21.77) (Gamma-seminoprotein) (Seminin) (Kallikrein-3) (P-30 antigen) (Semenogelase)	KLK3 APS	Homo sapiens (Human)	261
LAT_HUMAN	O43561	LAT_HUMAN	reviewed	Linker for activation of T-cells family member 1 (36 kDa phospho-tyrosine adapter protein) (pp36) (p36-38)	LAT	Homo sapiens (Human)	262
LRIG1_HUMAN	Q96JA1	LRIG1_HUMAN	reviewed	Leucine-rich repeats and immunoglobulin-like domains protein 1 (LIG-1)	LRIG1 LIG1	Homo sapiens (Human)	1093
MYO1C_HUMAN	O00159	MYO1C_HUMAN	reviewed	Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)	MYO1C	Homo sapiens (Human)	1063
MYO1E_HUMAN	Q12965	MYO1E_HUMAN	reviewed	Unconventional myosin-Ie (Myosin-Ic) (Unconventional myosin 1E)	MYO1E MYO1C	Homo sapiens (Human)	1108
NRF1_HUMAN	Q16656	NRF1_HUMAN	reviewed	Nuclear respiratory factor 1 (NRF-1) (Alpha palindromic-binding protein) (Alpha-pal)	NRF1	Homo sapiens (Human)	503
NTAL_HUMAN	Q9GZY6	NTAL_HUMAN	reviewed	Linker for activation of T-cells family member 2 (Linker for activation of B-cells) (Membrane-associated adapter molecule) (Non-T-cell activation linker) (Williams-Beuren syndrome chromosomal region 15 protein) (Williams-Beuren syndrome chromosomal region 5 protein)	LAT2 LAB NTAL WBS15 WBSCR15 WBSCR5 HSPC046	Homo sapiens (Human)	243
OSTF1_HUMAN	Q92882	OSTF1_HUMAN	reviewed	Osteoclast-stimulating factor 1	OSTF1	Homo sapiens (Human)	214
P85B_HUMAN	O00459	P85B_HUMAN	reviewed	Phosphatidylinositol 3-kinase regulatory subunit beta (PI3-kinase regulatory subunit beta) (PI3K regulatory subunit beta) (PtdIns-3-kinase regulatory subunit beta) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit beta) (PI3-kinase subunit p85-beta) (PtdIns-3-kinase regulatory subunit p85-beta)	PIK3R2	Homo sapiens (Human)	728
PAR2_HUMAN	P55085	PAR2_HUMAN	reviewed	Proteinase-activated receptor 2 (PAR-2) (Coagulation factor II receptor-like 1) (G-protein coupled receptor 11) (Thrombin receptor-like 1) [Cleaved into: Proteinase-activated receptor 2, alternate cleaved 1; Proteinase-activated receptor 2, alternate cleaved 2]	F2RL1 GPR11 PAR2	Homo sapiens (Human)	397
PLCG2_HUMAN	P16885	PLCG2_HUMAN	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2 (EC 3.1.4.11) (Phosphoinositide phospholipase C-gamma-2) (Phospholipase C-IV) (PLC-IV) (Phospholipase C-gamma-2) (PLC-gamma-2)	PLCG2	Homo sapiens (Human)	1265
